close,volume,date,high,low
679155569.5508518,350106343493672.3,2022-01-01 23:59:59.999000+00:00,681156563.2223511,659240619.0017036
674377805.4942565,398086253510711.06,2022-01-02 23:59:59.999000+00:00,681926987.6099607,667336486.9598485
663591482.3172027,471067024142299.3,2022-01-03 23:59:59.999000+00:00,676735241.1381109,654954659.2747401
658467276.7309027,606979106070180.1,2022-01-04 23:59:59.999000+00:00,679522426.0934846,656929885.1409256
627604957.9152316,528682246377344.25,2022-01-05 23:59:59.999000+00:00,674964040.480296,616502000.7615889
620261386.2414128,435142404424494.4,2022-01-06 23:59:59.999000+00:00,630115006.0755885,613724751.2997841
595057197.2681026,1209981027038143.2,2022-01-07 23:59:59.999000+00:00,620155651.7144665,589014087.9856143
597577897.766801,401875132770591.5,2022-01-08 23:59:59.999000+00:00,604665663.7896544,582376144.095195
601213037.3915931,304908966239119.06,2022-01-09 23:59:59.999000+00:00,610894440.9898454,591910774.3154128
597632123.416982,460528405624155.25,2022-01-10 23:59:59.999000+00:00,604017226.2389916,568945717.9487776
610443213.8627372,376937361541643.06,2022-01-11 23:59:59.999000+00:00,614346781.4846885,592758207.8146652
628425993.28806,479394145191835.0,2022-01-12 23:59:59.999000+00:00,631312311.1611626,608035881.1011374
609442807.4431345,683226139241379.6,2022-01-13 23:59:59.999000+00:00,632396747.6532738,607389024.8273823
616952808.1726096,336949387444383.25,2022-01-14 23:59:59.999000+00:00,621218354.6002872,600729261.6826454
618065005.2164271,262977583773422.8,2022-01-15 23:59:59.999000+00:00,625899020.5285288,610788038.106262
617253199.9165865,256260474699339.0,2022-01-16 23:59:59.999000+00:00,621778352.7990906,611102800.9449769
605503185.7152752,310544539924604.2,2022-01-17 23:59:59.999000+00:00,618191108.2569803,597326940.3365356
608458999.3413669,321266629739048.2,2022-01-18 23:59:59.999000+00:00,610738745.5829903,594282542.440379
599567547.8931338,331564542197696.75,2022-01-19 23:59:59.999000+00:00,609938176.6739112,593588627.0495192
582852784.3914018,293246064917112.5,2022-01-20 23:59:59.999000+00:00,621417540.7657688,582743951.0065798
522424254.06403464,616404857800566.5,2022-01-21 23:59:59.999000+00:00,588438417.8125663,512882194.5950293
501974750.28458697,569097214273414.4,2022-01-22 23:59:59.999000+00:00,525741486.9208897,492216153.6688901
519920223.05805415,372831090894113.25,2022-01-23 23:59:59.999000+00:00,522163299.7376411,498459883.22729284
526015281.7907462,599890851948118.6,2022-01-24 23:59:59.999000+00:00,534539178.5970271,475883965.1924812
529571173.52218163,379263020395921.75,2022-01-25 23:59:59.999000+00:00,536760650.11315936,513515313.55008984
529434176.62813497,449441157424128.56,2022-01-26 23:59:59.999000+00:00,556531173.2779585,522574658.17685807
533865832.1361673,360207149258158.4,2022-01-27 23:59:59.999000+00:00,534010847.6150442,512655456.6250772
543467179.0530428,319685412663406.75,2022-01-28 23:59:59.999000+00:00,545891423.0469686,520535809.65445685
548556677.5654812,247310812831629.9,2022-01-29 23:59:59.999000+00:00,554857830.4923831,538032273.618793
545430257.1431925,210624014681418.28,2022-01-30 23:59:59.999000+00:00,550400071.7954512,538481546.620377
551824941.385796,298261191478818.06,2022-01-31 23:59:59.999000+00:00,554253503.7919253,528794474.92074984
555125232.3275789,291271854943413.6,2022-02-01 23:59:59.999000+00:00,560940333.2295325,545557067.8461317
530473032.2873975,274461300490926.8,2022-02-02 23:59:59.999000+00:00,556434054.6393132,529268460.54077065
534673274.83656234,266887988663869.5,2022-02-03 23:59:59.999000+00:00,534673274.83656234,523673605.099078
597641656.0916433,423256419412635.25,2022-02-04 23:59:59.999000+00:00,598029181.7206122,533095681.17653906
596781782.2057043,283014742471236.44,2022-02-05 23:59:59.999000+00:00,602628444.2938223,590977306.976256
610520588.4809054,232457501066021.9,2022-02-06 23:59:59.999000+00:00,611792412.2115602,593955541.3516647
631076541.194722,412295192443136.9,2022-02-07 23:59:59.999000+00:00,639168216.4156029,600338473.356074
634001926.0218122,476174638741670.6,2022-02-08 23:59:59.999000+00:00,651886308.2218552,615317690.486759
635565628.7095833,334432769098382.8,2022-02-09 23:59:59.999000+00:00,641808146.2327173,620876763.4768018
625464315.4887024,460997331177145.4,2022-02-10 23:59:59.999000+00:00,654885301.8140178,623475283.9090426
608331267.7290571,386985030423515.25,2022-02-11 23:59:59.999000+00:00,626809949.1129378,604122542.5363989
605986360.8371044,260391500809873.53,2022-02-12 23:59:59.999000+00:00,616717403.9907509,600364692.5460578
605401955.5260621,211464409013195.97,2022-02-13 23:59:59.999000+00:00,612421169.9308789,601775771.4560245
609139876.3733314,298813341564929.94,2022-02-14 23:59:59.999000+00:00,612543336.9503968,598158995.3372267
635951082.8393714,324998114142611.2,2022-02-15 23:59:59.999000+00:00,637263834.6212329,607770501.3641311
627531363.705622,282407986988452.0,2022-02-16 23:59:59.999000+00:00,636060676.2388556,620643791.2093874
582020465.4848849,374772967800330.3,2022-02-17 23:59:59.999000+00:00,629737821.8285253,577564415.310617
575121023.3259976,334671104616297.44,2022-02-18 23:59:59.999000+00:00,586606856.4080702,569323043.5804905
576430985.2947321,197351753158858.0,2022-02-19 23:59:59.999000+00:00,580693995.7878455,570553537.6944724
551708610.8601866,263497227823891.7,2022-02-20 23:59:59.999000+00:00,576398448.5244087,547562986.646717
532208220.0915562,420340126870367.94,2022-02-21 23:59:59.999000+00:00,564235552.2757217,530416688.87514913
550560726.7283247,365949076097941.4,2022-02-22 23:59:59.999000+00:00,551622367.6540649,524189094.15517086
535271077.2316185,314194051679364.0,2022-02-23 23:59:59.999000+00:00,561371142.3781774,533911162.9984488
552811816.0080276,665688731713182.4,2022-02-24 23:59:59.999000+00:00,561924970.8792409,496143816.822947
562106442.0309134,382826030966508.7,2022-02-25 23:59:59.999000+00:00,568328143.703231,547166441.0550523
560542965.1113647,250384287790691.3,2022-02-26 23:59:59.999000+00:00,573446670.0190139,554771793.8145431
540900921.5830652,336139991742356.8,2022-02-27 23:59:59.999000+00:00,570201304.7462388,533756357.5747879
620552606.8247648,511929785818890.8,2022-02-28 23:59:59.999000+00:00,628924164.370181,539024189.2458997
640030489.0847075,466656013313971.5,2022-03-01 23:59:59.999000+00:00,643952895.7541935,616210081.6981763
630978717.4185947,421107755560259.75,2022-03-02 23:59:59.999000+00:00,649146408.504956,625018281.8638332
609582227.3969665,359323843176758.8,2022-03-03 23:59:59.999000+00:00,632215897.2463006,601920795.0464417
562923980.6972451,409476547928598.06,2022-03-04 23:59:59.999000+00:00,609981756.9614043,558152295.1870904
566706481.8147846,244168015878835.3,2022-03-05 23:59:59.999000+00:00,569090526.7174966,557737870.2254382
552653517.9762237,283999590744310.6,2022-03-06 23:59:59.999000+00:00,570152590.287489,549605775.010544
548375038.0234807,410622942659093.1,2022-03-07 23:59:59.999000+00:00,567996378.2518402,536763765.03845334
556410503.5028057,371376126440608.44,2022-03-08 23:59:59.999000+00:00,564164181.3530211,546886229.3377037
598590464.8062387,463722657718521.8,2022-03-09 23:59:59.999000+00:00,606431342.2479473,555966604.2138908
563166925.6034613,443109492732491.3,2022-03-10 23:59:59.999000+00:00,598987409.1767776,554899146.0035063
555815580.1584901,376490635867865.4,2022-03-11 23:59:59.999000+00:00,572176365.5930583,548792033.3695427
557377799.9714613,209409888572422.28,2022-03-12 23:59:59.999000+00:00,563174298.7655841,555494121.550805
542006066.7047148,247867778060453.3,2022-03-13 23:59:59.999000+00:00,561752363.5858319,540265926.1445372
568989862.1517913,348292608084406.4,2022-03-14 23:59:59.999000+00:00,570076365.9818102,539587017.921109
562755095.0061864,343499009888466.44,2022-03-15 23:59:59.999000+00:00,569258382.1320084,549046642.6376656
586833788.4485085,566982883147265.8,2022-03-16 23:59:59.999000+00:00,592778196.1617638,558587338.4917709
586481091.764786,314031780085335.94,2022-03-17 23:59:59.999000+00:00,590108290.0428143,581411955.8190129
599526788.2185687,493278236364533.56,2022-03-18 23:59:59.999000+00:00,605289396.4203656,577793314.4742004
605113118.7083287,282040207126275.25,2022-03-19 23:59:59.999000+00:00,606918834.8970468,596680030.8777734
591812479.4365677,288682056113346.9,2022-03-20 23:59:59.999000+00:00,605837569.7618039,588104613.3416872
589138593.290028,353177076469750.25,2022-03-21 23:59:59.999000+00:00,594252770.3818467,583313656.6637645
607647696.5495026,459012324587816.7,2022-03-22 23:59:59.999000+00:00,619072233.9609369,587114976.1635305
616845766.1600232,362246234809338.56,2022-03-23 23:59:59.999000+00:00,616853664.1942023,601044859.797057
631371316.7262673,446430824262436.8,2022-03-24 23:59:59.999000+00:00,633837141.2380587,613825414.0434924
636732469.1113642,439112777469933.8,2022-03-25 23:59:59.999000+00:00,645576227.2575096,626953561.2190175
638916193.911242,243364476908026.03,2022-03-26 23:59:59.999000+00:00,642292583.1904687,634112878.7585324
671453453.8327279,404317158104536.75,2022-03-27 23:59:59.999000+00:00,671554597.1602,638003999.8316157
676941953.3298295,521469961774067.4,2022-03-28 23:59:59.999000+00:00,690608723.2920811,669584217.4956259
680568381.7338207,450984216747309.56,2022-03-29 23:59:59.999000+00:00,689696112.9156879,676545989.9587115
674071479.4786752,420867900108921.9,2022-03-30 23:59:59.999000+00:00,682893525.8186274,670478572.345546
653391213.4044157,477585844082899.8,2022-03-31 23:59:59.999000+00:00,682101000.3671317,651265696.5197028
665134332.3884629,547910624675705.0,2022-04-01 23:59:59.999000+00:00,669595725.5505838,637436558.2196281
659203309.3381706,421609396626539.7,2022-04-02 23:59:59.999000+00:00,675864585.9201909,657961096.7101151
667440642.1371173,365241744530586.4,2022-04-03 23:59:59.999000+00:00,679919954.2611198,655828241.0545322
668051639.3980598,466953972294254.0,2022-04-04 23:59:59.999000+00:00,670890634.7540872,648079955.8596939
654108897.8500682,424674272569344.8,2022-04-05 23:59:59.999000+00:00,674926587.1512285,653948286.811152
